date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2020-12-28,Data Scientist,"Houston, TX, USA",140000.0,Oil and Gas,Masters in Applied Statistics,2yrs of actuarial experience,Desconhecido,15-30% bonus  (no bonus this year of course due to Covid,"140,000I'm about to accept a new job that will be include a nice paycut (125K) just to get out of O&amp;G.  The industry is on a downturn and I think now is a good time move on.  The premium pay is no longer worth the instability",False,3.0,years,2020
2020-12-28,Program Analyst,Desconhecido,86000.0,Federal Gov't (non defense,M.Ed,8 years at same agency in administrative positions,Nope,Desconhecido,Desconhecido,False,1.0,years,2020
2020-12-28,Data Scientist,Desconhecido,85000.0,Defense,Masters of Science in Data Science,"3 years as research assistant (statistics), 2 years graduate research assistant (data science), 1 year data intern (government position), 1/2 year analyst intern   * Note all my previous expirience was while I was in school not full time positions, my current position is my first position since school",Desconhecido,"2,000","87,000",False,1.0,years,2020
2020-12-28,Senior Software Engineer (ML,Desconhecido,240.0,Fintech,B.S. Stats tier 2 school,"1 year in finance industry, 1.5 years in small tech, both as DS. 1 year co-oping at hedge funds while in school",60k,60k,"360kMy last job I was a data scientist with 140k comp, decided to switch over to ML Engineering for a larger than expected pay bump",False,6.0,months,2020
2020-12-28,Data Science Consultant,"London, UK",65000.0,Large Tech Company,PhD,3 years as data science consultant for another similar firm,Desconhecido,incentive (3 year vest)  - 23% annual bonus,"90,000 w/ bonus, stock &amp; benefits",False,2.0,years,2020
2020-12-28,Senior Business Analyst (part of an analytics team,"Pacific Northwest, Cariboo, BC V0L 1H0, Canada",120000.0,FAANG,BS in completely unrelated field,4 yrs in previous SBA role - 3 yrs in Financial Analyst role,"45,000 YR 1 / $38,000 YR 2","125,000 RSU*** **Total comp: Year 1","168,000****I  work on a highly skilled analytics team. My technical experience is lacking compared to most of the people I work with and I'm one of the only members of the team without a post-grad education but I somehow made it through the grueling interview process and landed a spot on the team. It's challenging work but nothing I haven't been able to handle so far",False,2.0,months,2020
2020-12-28,Data Scientist,Desconhecido,,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Total** **comp**: Variable; see bonus. Low 170s this year,False,4.0,years,2020
2020-12-28,Senior Data Scientist Lead,"Chicago, IL, USA",135000.0,Large corporation in biotech/agrotech,PhD,Joined current employer directly out of grad school   * **$Internship:** 3 Summer Internships as Graduate Student,Full relocation costs + $5500,18% annual bonus (depends on company performance)   * 15% Long Term Incentive (4 year vest,"180,000 with full bonus and LTI",False,7.0,years,2020
2020-12-28,Data Scientist,"Midwest City, OK, USA",74000.0,Digital Advertising,MS,"5 years quality assurance/software engineering "" $Internship None "" $Coop None",0,2000 if we meet utilization targets (rarely happens,76000 - agency pay is absolute garbage,False,2.0,years,2020
2020-12-28,Data Scientist,"Arlington County, Arlington, VA, USA",93000.0,"Government Contract* **Education:** BA in Mathematics* **Prior Experience:** Data Analyst for 1.5 years   * **$Internship** on-campus Data Science Intern while undergrad   * **$Coop*** **Relocation/Signing Bonus:** * **Stock and/or recurring bonuses:** 5%* **Total comp:** $97,650 + ~$10,000 for Education Assistance = ~$107,650",BA in Mathematics,Data Analyst for 1.5 years   * **$Internship** on-campus Data Science Intern while undergrad   * **$Coop,Desconhecido,5,"97,650 + ~$10,000 for Education Assistance = ~$107,650*Education Assistance is how much they are paying for my grad school programSide note my pay increased by $35k going from Data Analyst -&gt; Data Scientist",False,6.0,months,2020
